DateTime,tmin,tmax,rain
1951-01-01,8.57,23.84,0.0
1951-01-02,6.63,22.68,0.0
1951-01-03,6.0,23.08,0.0
1951-01-04,5.78,23.52,0.0
1951-01-05,7.28,24.26,0.0
1951-01-06,7.84,25.06,0.0
1951-01-07,7.86,25.31,0.0
1951-01-08,9.02,26.05,0.0
1951-01-09,10.95,26.91,0.0
1951-01-10,9.96,26.01,0.0
1951-01-11,9.05,24.41,0.0
1951-01-12,8.58,25.87,0.0
1951-01-13,11.0,26.43,0.0
1951-01-14,12.51,27.42,0.0
1951-01-15,12.52,27.22,0.0
1951-01-16,14.75,27.57,0.0
1951-01-17,15.06,26.28,4.5324
1951-01-18,9.74,23.91,0.0
1951-01-19,8.89,23.73,0.0
1951-01-20,14.2,24.53,6.324
1951-01-21,11.67,21.83,0.2623
1951-01-22,9.89,21.86,0.0
1951-01-23,7.58,21.39,0.0
1951-01-24,6.61,21.37,0.0
1951-01-25,6.37,22.26,0.0
1951-01-26,6.94,22.68,0.0
1951-01-27,7.08,24.59,0.0
1951-01-28,7.94,25.23,0.0
1951-01-29,7.55,25.75,0.0
1951-01-30,8.67,26.19,0.0
1951-01-31,11.33,27.1,0.0
1951-02-01,14.01,27.88,0.0
1951-02-02,12.74,29.29,0.0
1951-02-03,11.54,28.45,0.0
1951-02-04,8.18,24.97,0.0
1951-02-05,10.77,24.91,0.0
1951-02-06,11.4,22.3,2.9768
1951-02-07,13.13,24.56,0.0
1951-02-08,9.99,22.95,0.0
1951-02-09,11.07,26.03,0.0
1951-02-10,12.55,29.69,0.0
1951-02-11,14.09,31.67,0.0
1951-02-12,13.78,30.48,0.0
1951-02-13,10.61,28.1,0.0
1951-02-14,10.89,27.92,0.0
1951-02-15,10.74,27.95,0.0
1951-02-16,10.41,27.02,0.0
1951-02-17,9.13,27.11,0.0
1951-02-18,9.9,27.04,0.0
1951-02-19,11.16,28.42,0.0
1951-02-20,13.3,29.87,0.0
