DateTime,tmin,tmax,rain
1951-01-01,12.08,27.35,0.0
1951-01-02,11.0,26.28,0.0
1951-01-03,9.12,25.04,0.0
1951-01-04,9.29,25.47,0.0
1951-01-05,10.32,26.13,0.0
1951-01-06,10.64,25.85,0.0
1951-01-07,11.51,25.65,0.0
1951-01-08,11.02,26.55,0.0
1951-01-09,10.78,27.24,0.0
1951-01-10,11.21,27.9,0.0
1951-01-11,11.26,27.8,0.0
1951-01-12,11.98,27.65,0.0
1951-01-13,13.93,28.3,0.0
1951-01-14,13.67,28.31,0.0
1951-01-15,12.52,28.15,0.0
1951-01-16,14.93,28.2,0.0
1951-01-17,15.64,28.57,0.0
1951-01-18,13.35,28.4,0.0
1951-01-19,14.65,28.87,0.7886
1951-01-20,18.09,28.42,0.1735
1951-01-21,16.29,28.14,0.0
1951-01-22,15.08,27.38,0.0
1951-01-23,13.4,27.17,0.0
1951-01-24,13.92,27.59,0.0
1951-01-25,13.21,27.83,0.0
1951-01-26,12.46,27.78,0.0
1951-01-27,12.89,28.3,0.0
1951-01-28,13.7,29.16,0.0
1951-01-29,12.89,28.26,0.0
1951-01-30,12.44,28.66,0.0
1951-01-31,13.28,28.92,0.0
1951-02-01,14.11,29.19,0.0
1951-02-02,14.35,29.53,0.0
1951-02-03,14.25,29.94,0.0
1951-02-04,15.13,30.12,0.0
1951-02-05,16.34,30.49,0.0
1951-02-06,12.72,29.68,0.0
1951-02-07,14.44,28.06,0.0
1951-02-08,14.3,29.42,0.0
1951-02-09,13.98,29.72,0.0
1951-02-10,15.17,30.95,0.0
1951-02-11,15.86,31.77,0.0
1951-02-12,16.42,32.41,0.0
1951-02-13,15.4,32.36,0.0
1951-02-14,14.55,31.82,0.0
1951-02-15,13.19,31.59,0.0
1951-02-16,13.27,30.24,0.0
1951-02-17,14.2,31.65,0.0
1951-02-18,14.25,31.31,0.0
1951-02-19,13.88,31.18,0.0
1951-02-20,13.71,32.39,0.0
1951-02-21,14.37,32.94,0.0
1951-02-22,14.55,33.1,0.0
1951-02-23,16.04,34.02,0.0
1951-02-24,17.34,35.19,0.0
1951-02-25,18.18,35.01,0.0
1951-02-26,18.13,34.94,0.0
1951-02-27,18.57,35.43,0.0
1951-02-28,18.29,36.23,0.0
1951-03-01,16.52,36.28,0.0
1951-03-02,16.23,34.56,0.0
1951-03-03,18.52,34.58,0.0
1951-03-04,16.94,34.33,0.0
1951-03-05,17.93,35.22,0.0
1951-03-06,18.26,35.79,0.0
1951-03-07,18.06,35.08,0.0
1951-03-08,18.92,36.0,0.0
1951-03-09,19.7,36.26,0.0
1951-03-10,20.24,35.94,0.0
1951-03-11,19.02,35.23,0.0
1951-03-12,19.76,36.62,0.0
1951-03-13,20.04,37.01,0.0
1951-03-14,20.09,35.09,0.0
1951-03-15,20.63,34.99,0.0
1951-03-16,21.34,35.5,1.1311
1951-03-17,21.33,35.66,0.0
1951-03-18,21.71,36.34,0.0
1951-03-19,22.34,36.95,0.0
1951-03-20,22.3,36.78,0.0
1951-03-21,22.12,36.72,0.0
1951-03-22,21.52,36.09,0.0
1951-03-23,21.64,35.97,0.0
1951-03-24,23.37,36.4,7.219
1951-03-25,20.4,34.56,3.2781
1951-03-26,21.15,32.92,9.943
1951-03-27,21.0,32.95,9.7621
1951-03-28,21.09,30.89,0.2522
1951-03-29,20.61,32.17,7.701
1951-03-30,20.84,31.64,23.0976
1951-03-31,20.54,28.91,26.8007
1951-04-01,22.17,31.16,6.0441
1951-04-02,22.65,33.01,1.7278
1951-04-03,22.74,32.78,0.0
1951-04-04,23.79,34.33,3.251
1951-04-05,24.03,35.68,0.0
1951-04-06,24.97,36.71,0.0
1951-04-07,24.02,36.2,0.0
1951-04-08,23.59,35.98,3.2279
1951-04-09,23.25,36.61,0.8119
1951-04-10,23.72,36.24,0.28
1951-04-11,23.41,35.45,0.8976
1951-04-12,23.7,35.9,1.4788
1951-04-13,23.46,35.06,0.0
1951-04-14,23.99,36.11,0.0
1951-04-15,23.58,36.81,0.0
1951-04-16,23.44,37.63,0.0
1951-04-17,23.63,37.88,0.0
1951-04-18,23.78,36.94,0.0
1951-04-19,23.49,36.68,0.3331
1951-04-20,22.79,34.43,0.0
1951-04-21,23.58,36.03,0.0
1951-04-22,23.04,38.19,0.0
1951-04-23,23.19,37.75,0.0
1951-04-24,24.61,38.54,0.0
1951-04-25,24.97,38.72,0.0
1951-04-26,26.23,38.48,0.0
1951-04-27,25.28,39.27,0.0
1951-04-28,24.4,39.56,0.0
1951-04-29,25.4,39.67,0.162
1951-04-30,24.5,38.21,5.0609
1951-05-01,22.98,36.55,0.5482
1951-05-02,24.31,37.61,0.1596
1951-05-03,21.0,35.91,2.9248
1951-05-04,23.28,36.16,1.6173
1951-05-05,24.77,37.32,0.0
1951-05-06,24.89,38.48,0.0
1951-05-07,26.1,40.02,0.0
1951-05-08,26.73,40.29,0.2915
1951-05-09,26.5,41.02,0.0
1951-05-10,27.69,40.88,0.0
1951-05-11,26.77,41.45,7.2073
1951-05-12,27.04,41.26,0.0
1951-05-13,26.35,39.16,2.1871
1951-05-14,27.99,41.13,0.0
1951-05-15,27.52,41.63,0.0
1951-05-16,27.48,41.61,0.0
