DateTime,tmin,tmax,rain
1951-01-01,9.87,25.03,0.0
1951-01-02,8.09,23.42,0.0
1951-01-03,6.87,23.35,0.0
1951-01-04,7.32,24.03,0.0
1951-01-05,8.06,24.53,0.0
1951-01-06,8.6,24.3,0.0
1951-01-07,9.45,24.64,0.0
1951-01-08,9.86,25.31,0.0
1951-01-09,10.68,26.61,0.0
1951-01-10,10.48,27.07,0.0
1951-01-11,9.8,26.87,0.0
1951-01-12,10.52,27.97,0.0
1951-01-13,11.93,27.0,0.0
1951-01-14,12.16,27.51,0.0
1951-01-15,13.14,27.32,0.0
1951-01-16,14.34,27.8,0.0
1951-01-17,14.61,28.12,0.0
1951-01-18,11.09,26.09,0.0
1951-01-19,11.46,25.71,0.0
1951-01-20,15.71,25.75,0.0
1951-01-21,12.99,24.84,0.0
1951-01-22,11.56,23.74,0.0
1951-01-23,9.21,22.82,0.0
1951-01-24,9.16,23.54,0.0
1951-01-25,8.75,24.4,0.0
1951-01-26,8.49,23.95,0.0
1951-01-27,9.34,26.12,0.0
1951-01-28,10.62,27.3,0.0
1951-01-29,10.09,27.13,0.0
1951-01-30,10.44,26.9,0.0
1951-01-31,12.32,27.48,0.0
1951-02-01,13.92,27.9,0.0
1951-02-02,13.09,28.9,0.0
1951-02-03,11.44,28.4,0.0
1951-02-04,11.28,26.83,0.0
1951-02-05,13.27,27.93,0.0
1951-02-06,11.5,25.35,0.0
1951-02-07,14.84,26.29,0.0
1951-02-08,11.49,26.27,0.0
1951-02-09,11.71,27.54,0.0
1951-02-10,12.78,30.47,0.0
1951-02-11,15.35,32.04,0.0
1951-02-12,15.68,31.53,0.0
1951-02-13,12.18,29.85,0.0
1951-02-14,12.44,29.26,0.0
1951-02-15,11.36,29.07,0.0
1951-02-16,10.38,28.27,0.0
1951-02-17,10.8,29.91,0.0
1951-02-18,11.51,28.36,0.0
1951-02-19,12.13,29.63,0.0
1951-02-20,12.66,30.79,0.0
1951-02-21,12.98,31.68,0.0
1951-02-22,12.26,32.5,0.0
1951-02-23,14.24,33.59,0.0
1951-02-24,15.01,34.39,0.0
1951-02-25,17.59,34.71,0.0
1951-02-26,16.56,35.14,0.0
1951-02-27,17.46,34.33,0.0
1951-02-28,16.32,34.57,0.0
1951-03-01,15.44,34.02,0.0
1951-03-02,14.89,33.12,0.0
1951-03-03,16.9,33.65,0.0
1951-03-04,15.93,34.54,0.0
1951-03-05,16.05,34.87,0.0
1951-03-06,16.37,34.84,0.0
1951-03-07,17.57,35.72,0.0
1951-03-08,18.59,37.1,0.0
1951-03-09,19.93,36.14,0.0
1951-03-10,20.09,35.41,0.0
1951-03-11,18.61,34.04,0.0
1951-03-12,20.6,35.76,0.0
1951-03-13,19.1,33.07,0.0
1951-03-14,19.22,33.36,0.0
1951-03-15,18.39,32.76,0.0
1951-03-16,20.13,35.5,0.0
1951-03-17,20.1,35.39,0.0
1951-03-18,20.25,35.66,0.0
1951-03-19,22.02,36.37,0.0
1951-03-20,22.1,34.09,0.0
