DateTime,tmin,tmax,rain
1951-01-01,7.98,24.32,0.0
1951-01-02,5.94,22.53,0.0
1951-01-03,4.99,22.73,0.0
1951-01-04,6.17,23.43,0.0
1951-01-05,7.5,24.45,0.0
1951-01-06,8.27,24.37,0.0
1951-01-07,9.34,23.99,0.0
1951-01-08,8.88,24.82,0.0
1951-01-09,9.22,26.26,0.0
1951-01-10,9.28,26.54,0.0
1951-01-11,8.97,26.44,0.0
1951-01-12,10.23,27.52,0.0
1951-01-13,11.88,27.4,0.0
1951-01-14,11.89,27.12,0.0
1951-01-15,12.7,27.75,0.0
1951-01-16,13.72,26.9,0.0
1951-01-17,12.9,27.61,0.0
1951-01-18,9.08,25.06,0.0
1951-01-19,10.91,26.23,0.0
1951-01-20,14.21,24.21,2.2225
1951-01-21,10.24,24.09,0.0
1951-01-22,9.68,23.31,0.0
1951-01-23,7.56,22.22,0.0
1951-01-24,7.82,23.43,0.0
1951-01-25,7.61,24.34,0.0
1951-01-26,7.73,24.02,0.0
1951-01-27,8.87,26.43,0.0
1951-01-28,9.6,27.51,0.0
1951-01-29,8.86,27.1,0.0
1951-01-30,9.12,26.46,0.0
1951-01-31,10.67,26.63,0.0
1951-02-01,12.37,27.09,0.0
1951-02-02,11.76,27.49,0.0
1951-02-03,9.26,27.18,0.0
1951-02-04,10.62,26.01,0.0
1951-02-05,13.67,27.84,0.0
1951-02-06,10.03,25.31,0.3145
1951-02-07,13.05,25.49,0.0
1951-02-08,10.47,25.93,0.0
1951-02-09,10.19,27.74,0.0
1951-02-10,12.79,29.91,0.0
1951-02-11,14.05,30.99,0.0
1951-02-12,13.58,30.93,0.0
1951-02-13,9.99,29.33,0.0
1951-02-14,10.87,28.47,0.0
1951-02-15,9.81,28.1,0.0
1951-02-16,9.0,27.42,0.0
1951-02-17,9.79,30.16,0.0
1951-02-18,9.69,28.57,0.0
1951-02-19,10.81,29.47,0.0
1951-02-20,11.5,31.31,0.0
1951-02-21,12.16,31.97,0.0
1951-02-22,11.22,32.34,0.0
1951-02-23,13.06,33.34,0.0
1951-02-24,13.29,34.43,0.0
1951-02-25,15.43,34.87,0.0
1951-02-26,15.19,35.18,0.0
1951-02-27,16.24,34.55,0.0
1951-02-28,15.84,34.98,0.0
1951-03-01,13.33,34.33,0.0
1951-03-02,12.93,33.07,0.0
1951-03-03,15.38,33.71,0.0
1951-03-04,14.57,34.37,0.0
1951-03-05,15.17,34.26,0.0
1951-03-06,15.39,34.84,0.0
1951-03-07,16.47,35.56,0.0
1951-03-08,16.64,36.18,0.0
1951-03-09,18.54,35.94,0.0
1951-03-10,19.76,34.79,0.0
1951-03-11,17.38,33.7,0.0
1951-03-12,19.38,35.69,0.0
1951-03-13,18.54,33.6,0.0
1951-03-14,17.91,32.7,0.0
1951-03-15,17.79,32.15,0.0
1951-03-16,20.1,35.05,0.0
1951-03-17,19.08,34.89,0.0
1951-03-18,18.52,35.43,0.0
1951-03-19,21.26,36.12,0.0
1951-03-20,20.81,34.13,0.0
1951-03-21,17.85,33.67,0.0
1951-03-22,15.92,32.74,0.0
1951-03-23,17.01,34.2,0.0
1951-03-24,20.91,34.63,0.0
1951-03-25,18.09,32.64,15.7604
1951-03-26,18.35,29.53,42.458
1951-03-27,18.36,28.46,0.5521
1951-03-28,18.04,30.31,1.0102
1951-03-29,17.44,29.51,6.4563
1951-03-30,17.36,26.67,23.1438
1951-03-31,16.58,25.02,4.4855
1951-04-01,18.49,28.76,0.0
1951-04-02,20.23,30.96,0.5388
1951-04-03,18.93,30.46,12.0563
1951-04-04,20.23,32.15,0.0
1951-04-05,20.43,34.58,0.0
1951-04-06,22.51,36.0,0.0
1951-04-07,21.75,35.87,0.0
1951-04-08,21.25,34.67,20.5627
1951-04-09,20.37,34.68,4.9837
1951-04-10,19.81,33.14,8.2392
1951-04-11,19.42,33.78,0.0
1951-04-12,19.99,34.37,0.7273
1951-04-13,20.15,33.23,0.0
1951-04-14,20.52,35.24,0.0
1951-04-15,21.13,36.21,0.0
1951-04-16,22.5,37.33,0.0
1951-04-17,22.97,37.37,0.0
1951-04-18,24.13,38.08,0.0
1951-04-19,22.26,35.98,1.9869
1951-04-20,21.25,32.95,0.0
1951-04-21,20.59,34.91,0.0
1951-04-22,20.65,36.93,0.0
1951-04-23,20.79,37.03,0.0
1951-04-24,21.95,37.93,0.0
1951-04-25,22.71,38.63,0.0
1951-04-26,24.35,38.87,0.0
1951-04-27,25.6,38.57,0.0
1951-04-28,23.44,39.02,1.8857
1951-04-29,24.42,39.2,0.0
1951-04-30,23.24,38.13,3.8209
1951-05-01,22.15,37.02,10.4902
1951-05-02,22.37,37.2,0.1242
1951-05-03,20.41,36.11,1.2123
1951-05-04,21.15,36.03,0.5388
1951-05-05,22.83,37.39,0.0
1951-05-06,23.93,39.29,0.0
1951-05-07,24.94,40.72,0.0
1951-05-08,25.04,40.03,0.0
1951-05-09,26.12,41.3,0.0
1951-05-10,27.1,41.94,0.0
1951-05-11,24.08,40.84,0.0
1951-05-12,25.19,41.91,0.0
1951-05-13,26.82,42.48,0.0
1951-05-14,27.63,42.07,0.0
1951-05-15,25.97,42.7,0.0
1951-05-16,26.99,41.64,0.0
1951-05-17,26.42,42.2,0.0
1951-05-18,25.83,42.98,0.0
1951-05-19,25.79,41.95,0.0
1951-05-20,26.6,41.81,0.0
1951-05-21,26.17,42.92,0.0
1951-05-22,26.94,42.94,0.0
1951-05-23,25.82,41.95,0.0
1951-05-24,25.55,38.7,0.0
1951-05-25,25.78,39.02,2.896
1951-05-26,26.91,38.68,0.1779
1951-05-27,26.69,39.7,0.0
1951-05-28,28.17,39.62,0.0
